# Logisim PLA program table
00000 0000 # S0
00001 0001 # S1
00010 0001 # S2
00011 0001 # S3
00100 0001 # S4
00101 0010 # S5
00110 0100 # S6
00111 0011 # A0
01000 0011 # A1
01001 0100 # A2
01010 0110 # A3
01011 0101 # J0
01100 0010 # J1
01101 0101 # I0
01110 0010 # H0
01111 0011 # D0
10000 0011 # D1B
10001 0100 # D1W
10010 0110 # D1DW
10011 0110 # D2F
10100 0100 # D2S
10101 0011 # D2R
10110 0101 # D2SD
10111 0100 # D2RD
11000 0110 # D3F
11001 0100 # D3S
11010 0011 # D3R
11011 0101 # D3SD
11100 0100 # D3RD
